Customer_ID,Name,Gender,Age,Join_Date,Premium_Member,City,Occupation,Income_Group,Age_Group
1,Aanya Verma,Male,65,2024-07-17,False,Bangalore,Freelancer,Low,51-65
2,Aanya Nair,Other,23,2025-05-14,True,Delhi,Software Engineer,Medium,18-25
3,Aryan Reddy,Male,53,2024-02-12,False,Jaipur,Business Owner,Ultra High,51-65
4,Ananya Joshi,Other,35,2023-01-14,False,Bangalore,Freelancer,Ultra High,26-35
5,Pari Kapoor,Male,31,2024-11-20,True,Noida,Student,High,26-35
6,Ishaan Singh,Other,34,2023-03-30,False,Ahmedabad,Student,Ultra High,26-35
7,Vihaan Patel,Female,58,2025-01-10,False,Jaipur,Student,Low,51-65
8,Aanya Malhotra,Female,23,2024-04-21,False,Noida,Doctor,Ultra High,18-25
9,Aanya Singh,Male,41,2024-12-28,False,Pune,Freelancer,Low,36-50
10,Ishani Iyer,Male,52,2024-05-16,False,Noida,Doctor,Medium,51-65
11,Aanya Singh,Male,32,2023-03-07,False,Noida,Doctor,Low,26-35
12,Ananya Reddy,Other,38,2024-03-11,False,Noida,Freelancer,Ultra High,36-50
13,Vivaan Kapoor,Male,33,2024-06-22,False,Noida,Business Owner,Ultra High,26-35
14,Pari Malhotra,Male,50,2025-10-07,True,Mumbai,Corporate Professional,Low,36-50
15,Vivaan Iyer,Male,61,2025-05-14,False,Noida,Teacher,Ultra High,51-65
16,Aryan Kapoor,Other,18,2023-08-23,False,Ahmedabad,Corporate Professional,High,
17,Krishna Iyer,Female,25,2024-08-24,False,Gurgaon,Student,High,18-25
18,Aryan Gupta,Other,24,2024-09-03,False,Ahmedabad,Business Owner,Medium,18-25
19,Vivaan Singh,Male,52,2025-12-22,False,Kolkata,Doctor,Ultra High,51-65
20,Aarav Verma,Female,37,2024-05-05,True,Kolkata,Student,Low,36-50
21,Prisha Joshi,Male,52,2023-09-15,True,Gurgaon,Business Owner,Medium,51-65
22,Diya Patel,Other,45,2024-03-09,False,Jaipur,Freelancer,Medium,36-50
23,Prisha Kapoor,Female,60,2025-02-03,False,Ahmedabad,Teacher,Low,51-65
24,Ananya Malhotra,Male,39,2023-02-13,False,Hyderabad,Business Owner,Medium,36-50
25,Aarav Verma,Other,58,2023-05-01,False,Mumbai,Corporate Professional,High,51-65
26,Vihaan Patel,Male,35,2025-09-21,False,Bangalore,Freelancer,Ultra High,26-35
27,Ananya Joshi,Female,30,2023-07-13,True,Noida,Doctor,Ultra High,26-35
28,Advik Joshi,Other,21,2023-07-21,True,Jaipur,Doctor,Low,18-25
29,Ananya Malhotra,Male,52,2025-07-07,True,Bangalore,Doctor,Ultra High,51-65
30,Ananya Verma,Female,53,2023-07-20,True,Ahmedabad,Corporate Professional,Low,51-65
31,Vihaan Malhotra,Male,44,2025-09-21,False,Noida,Student,Medium,36-50
32,Advik Sharma,Female,34,2025-07-20,False,Jaipur,Freelancer,Ultra High,26-35
33,Vivaan Malhotra,Female,31,2023-04-30,False,Ahmedabad,Student,High,26-35
34,Aarav Sharma,Other,48,2025-10-26,False,Ahmedabad,Software Engineer,Low,36-50
35,Aryan Verma,Male,22,2023-05-20,False,Hyderabad,Teacher,Low,18-25
36,Aadhya Reddy,Male,55,2023-03-23,False,Noida,Freelancer,High,51-65
37,Aadhya Kapoor,Male,60,2024-10-05,False,Noida,Software Engineer,High,51-65
38,Saanvi Singh,Male,18,2025-07-27,False,Kolkata,Student,Low,
39,Aryan Malhotra,Other,34,2023-09-29,False,Delhi,Software Engineer,High,26-35
40,Diya Gupta,Female,52,2024-09-11,False,Lucknow,Business Owner,Low,51-65
41,Aanya Patel,Female,60,2023-08-01,False,Bangalore,Doctor,Low,51-65
42,Aadhya Verma,Other,53,2023-11-15,False,Kolkata,Software Engineer,High,51-65
43,Ananya Iyer,Other,34,2025-11-01,False,Mumbai,Student,Ultra High,26-35
44,Ishaan Kapoor,Male,18,2024-11-14,False,Lucknow,Doctor,Medium,
45,Prisha Joshi,Other,63,2025-05-25,False,Delhi,Student,Medium,51-65
46,Aryan Sharma,Female,55,2023-10-31,False,Mumbai,Doctor,High,51-65
47,Aadhya Sharma,Female,31,2024-05-26,False,Chennai,Corporate Professional,Ultra High,26-35
48,Ishani Nair,Male,33,2023-11-29,False,Bangalore,Teacher,Low,26-35
49,Vivaan Nair,Female,44,2024-05-23,False,Jaipur,Student,Ultra High,36-50
50,Ishaan Sharma,Female,32,2024-02-13,False,Gurgaon,Doctor,High,26-35
51,Ishaan Malhotra,Male,19,2024-01-31,False,Pune,Corporate Professional,Low,18-25
52,Krishna Kapoor,Female,59,2025-11-09,False,Ahmedabad,Doctor,Low,51-65
53,Vihaan Kapoor,Male,55,2024-06-27,True,Kolkata,Teacher,High,51-65
54,Prisha Singh,Female,56,2025-11-13,True,Kolkata,Software Engineer,High,51-65
55,Aarav Nair,Female,18,2025-11-30,False,Ahmedabad,Freelancer,Medium,
56,Pari Mehra,Male,60,2024-11-07,False,Lucknow,Corporate Professional,Low,51-65
57,Prisha Kapoor,Other,37,2025-04-16,False,Jaipur,Doctor,Medium,36-50
58,Ananya Mehra,Other,42,2023-12-23,False,Pune,Teacher,Low,36-50
59,Diya Kapoor,Male,45,2024-10-21,False,Gurgaon,Freelancer,Medium,36-50
60,Aryan Joshi,Other,28,2023-06-23,False,Lucknow,Freelancer,High,26-35
